FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=72286, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=31, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=1381, fi_cycle=2998235, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=7, opcode=sext
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2565, fi_cycle=3073989, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4373, fi_cycle=2782238, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=24, opcode=sub
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2677, fi_cycle=177865, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=2, opcode=sext
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2595, fi_cycle=817399, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2539, fi_cycle=1872382, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=1, fi_bit=0, opcode=icmp
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4368, fi_cycle=2174150, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=37, opcode=sdiv
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2374, fi_cycle=2508087, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=1, opcode=getelementptr
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4386, fi_cycle=2469283, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=25, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4372, fi_cycle=3374623, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=20, opcode=mul
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2565, fi_cycle=66343, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=1, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4387, fi_cycle=2475829, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=7, opcode=load
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=3145, fi_cycle=1211832, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=14, opcode=getelementptr
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=2560, fi_cycle=3078572, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=32, fi_bit=2, opcode=add
FI stat: fi_type=bitflip, fi_max_multiple=-1, fi_index=4371, fi_cycle=370431, fi_reg_index=0, fi_reg_pos=0, fi_reg_width=64, fi_bit=44, opcode=load
